openalexid,value,key
W3168475772,"['ERA5', 'Linear Regression (LR)', 'Multi-linear Regression (MLR)']",Data-Centric AI
W4213418666,"['machine learning', 'classification models']",Predictive AI
W3169565429,[],Data-Centric AI
W3155162183,['Maxent'],Predictive AI
W4206778933,"['Recurrent Neural Networks', 'Convolutional Neural Networks', 'Multilayer Perceptrons']",Predictive AI
W3214471259,[],Other
W3176341638,"['random forest', 'support vector machine', 'k-nearest neighbour', 'decision tree', 'neural network']",Decision-Support AI
W3163109909,"['Machine Learning', 'Risk Modeling']",Predictive AI
W3195709780,[],Other
W3203336562,"['MLPNN', 'Land Use and Cover Change Simulation']",Predictive AI
W3212866350,['IoT'],Data-Centric AI
W3178613906,"['LSTMs', 'rainfall-runoff modelling']",Predictive AI
W3168694168,N/A,N/A
W3133790922,"['self-supervised learning', 'deep clustering', 'contrastive learning', 'SAR']",Data-Centric AI
W3175675675,[],Other
W4232752257,N/A,N/A
W3154595401,['machine learning'],Data-Centric AI
W4243845410,"['AI for soil analysis', 'AI for climate analysis', 'AI for productivity analysis']",Decision-Support AI
W3163666380,"['Deep learning', 'Citizen contributions', 'Hedgerow gaps identification']",Data-Centric AI
W3175713996,"['CNNs', 'land cover classification']",Predictive AI
W3183438132,"['linear regression', 'Gaussian process', 'support vector machine', 'deep learning']",Data-Centric AI
W3155234466,"['landscape hydrological modeling', 'PBH models']",Predictive AI
W3212890740,"['Molecular Dynamics', 'Deep Learning', 'interatomic potential', 'elastic constants']",Predictive AI
W3192792052,N/A,N/A
W3175402152,"['Long Short-Term Memory (LSTM)', 'Deep neural network (DNN)', 'Recurrent Neural Network (RNN)']",Predictive AI
W3153629735,"['super resolution', 'deep learners', 'flood depth grids']",Decision-Support AI
W3190102026,"['forensic entomology', 'artificial intelligence', 'whole genome sequencing']",Decision-Support AI
W3165277330,N/A,N/A
W4200351667,N/A,N/A
W3133596514,"['autoencoder technology', 'cloud clustering', 'unsupervised learning', 'evaluation protocols']",Decision-Support AI
W3168502111,"['Random Forest', 'Support Vector Machine', 'Deep Neural Network']",Predictive AI
W3170745490,"['convolutional neural network (CNN)', 'synoptic-scale pressure patterns', 'supervised machine learning']",Predictive AI
W3157131329,"['Explainable Artificial Intelligence methods', 'LIME', 'SHAP', 'CIU']",Decision-Support AI
W3207758710,[],Other
W3173632811,"['ANN', 'Sigmoid', 'Hyperbolic tangent', 'ReLU', 'ELU', 'Identity']",Predictive AI
W3212301316,"['deep neural networks', 'inductive biases', 'multi-task learning', 'robustness', 'image distortions', 'brain-regularized network', 'saliency maps']",Data-Centric AI
W4245921033,"['AutoML', 'ensemble approaches', 'PTFs', 'soil water retention parameters']",Data-Centric AI
W3185753362,"['Convolutional Neural Networks (CNNs)', 'ResNet50', 'Xception network architectures']",Predictive AI
W3171608349,"['Random Forest', 'Bagged Decision Tree Classifier']",Predictive AI
W3198157224,"['Bayesian neural networks', 'neural networks', 'parameter estimation', 'data assimilation']",Data-Centric AI
W3205171300,"['multiple linear regression', 'artificial neural network', 'self-regressive integrated moving average model']",Predictive AI
W3171431201,"['convolutional neural networks', 'time series']",Predictive AI
W4225877503,"['Artificial Neural Network (ANN)', 'Recursive Multi-Step Neural Networks (RMSNN)']",Predictive AI
W3112417764,"['3D Convolutional Neural Network (CNN)', 'IoU', 'Recall']",Predictive AI
W3214435038,"['GNN', 'LSTM']",Data-Centric AI
W3210121282,"['CNNs', 'image super-resolution', 'satellite remote sensing']",Data-Centric AI
W3200343034,"['deraining convolutional neural network', 'object detection in rainy conditions']",Data-Centric AI
W4226409975,['Convolutional Neural Networks'],Data-Centric AI
W3215687674,[],Decision-Support AI
W3216931589,['deep learning'],Predictive AI
W3175532738,"['machine learning', 'deep learning', 'neural network', 'hydrologic model', 'turbulent heat fluxes', 'SUMMA hydrologic model', 'input features', 'predictions']",Decision-Support AI
W3181631977,"['Machine Learning', 'Convolutional Neural Networks (CNNs)', 'Weak labels']",Predictive AI
W3154247136,"['GIS', 'Artificial Neural Networks (ANN)', 'Geographic Information System (GIS)']",Data-Centric AI
W3164056450,"['artificial neural networks', 'rainfall thresholds', 'receiver operating characteristic analysis']",Predictive AI
W3137094912,"['Convolutional Neural Networks', 'Extreme heatwave prediction']",Predictive AI
W3174543573,['CNN'],Predictive AI
W3171060621,[],Data-Centric AI
W3177566902,"['CNNs', 'plant community composition', 'species coverages']",Predictive AI
W3185810819,"['AI for Earth system science', 'Climate modeling', 'Artificial Intelligence']",Data-Centric AI
W3213739538,[],Other
W3216558329,"['IoT sensor analytics', 'Time-Series Forecasting']",Predictive AI
W3205607661,"['Non-linear Autoregressive (NAR)', 'Non-linear Auto-Regressive with eXogenous input (NARX)']",Predictive AI
W3174281318,"['water quality', 'data warehouse']",Data-Centric AI
W3163117833,"['machine learning', 'satellite altimetry', 'neural network']",Predictive AI
W3202084800,[],Other
W3155922939,"['classification', 'anomaly detection']",Predictive AI
W3165557957,"['Support Vector Machines', 'Random Forest', 'Gradient Boosting Machine', '3D convolutional neural networks']",Predictive AI
W4253787278,"['CNN', 'ERA5 reanalysis data', 'Time-Series Forecasting', 'Cross-Validation']",Predictive AI
W3173994423,"['BDANet', 'Building Damage Assessment', 'satellite imagery', 'U-Net', 'multi-scale U-Net', 'pre-disaster images', 'post-disaster images', 'cross-directional attention module', 'CutMix data augmentation']",Decision-Support AI
W3198026883,['computer-assisted information systems'],Data-Centric AI
W3173662038,"['Statistical learning models', 'Climate model outputs', 'Observational data products']",Predictive AI
W3197585943,"['convolutional neural networks', 'efficient modeling', 'data augmentation']",Data-Centric AI
W3207443277,['convolutional neural networks'],Data-Centric AI
W3169305640,"['AU1', 'AU4']",Data-Centric AI
W3148354000,"['CNNs', 'mobile face recognition', 'age and gender prediction']",Predictive AI
W3181402237,[],Other
W3216649138,"['Climate simulations', 'Neural network-based emulators', 'Canadian Earth System Model']",Data-Centric AI
W3203714988,[],Other
W3200118222,[],Other
W3153066337,"['reinforcement learning', 'extreme climate events', 'RL']",Decision-Support AI
W3131193787,['GANs'],Data-Centric AI
W3127138007,"['convolutional', 'recurrent', 'temperature forecasts']",Predictive AI
W3211599052,"['CNNs', 'precipitation forecasting']",Predictive AI
W3168885651,[],Other
W3173752143,['reinforcement learning'],Decision-Support AI
W3154712346,"['EarthNet2021', 'Sentinel imagery', 'Deep neural networks', 'Future weather']",Predictive AI
W3155747868,[],Decision-Support AI
W3184489150,"['negotiation', 'emotion attributes', 'outcome satisfaction', 'partner perception']",Predictive AI
W3135143576,"['convolutional neural networks', 'recurrent neural networks']",Predictive AI
W3160776539,"['deep neural network', 'Regional Atmospheric Climate Model version 2.3p2 (RACMO2)']",Decision-Support AI
W3208610345,['reinforcement learning'],Decision-Support AI
W3155961611,"['ML', 'machine learning']",Data-Centric AI
W3152617442,"['uncertainty quantification', 'machine learning']",Predictive AI
W4226254234,"['LSTMs', 'genome-wide association studies']",Predictive AI
W3155486672,['LSTMs'],Predictive AI
W3137722874,"['Radial Basis Function', 'IoT-based technology', 'Mean Absolute Error']",Predictive AI
W3160997626,"['video prediction', 'satellite imagery']",Predictive AI
W3136135338,['interactive narratives'],Data-Centric AI
W3179003019,[],Data-Centric AI
W3205374486,"['Sentinel-1 SAR', 'Deep Learning methods', 'machine learning approaches']",Data-Centric AI
W3177912250,['modern domain adaptation'],Data-Centric AI
W3215366228,[],Decision-Support AI
W3134225740,[],Other
W3161409725,[],Other
W3212173075,"['Association Rules (AR) analysis', 'Ensemble Machine Learning methods']",Predictive AI
W3163688052,"['IoT', 'Artificial intelligence (AI)', 'Global impact assessment']",Data-Centric AI
W3167360313,[],Other
W3165294500,"['Artificial Neural Network', 'Time-Series Forecasting']",Predictive AI
W4393042005,"['neural networks', 'GANs', 'Physics-Informed Neural Networks (PINNs)', 'Deep Operator Network (DeepONet)']",Data-Centric AI
W4240498059,"['satellite observations', 'artificial intelligence']",Data-Centric AI
W3156999303,"['machine learning', 'data-driven modeling', 'physical-based Earth System Models', 'hybrid prediction system']",Data-Centric AI
W3153232163,"['LSTM', 'BERT']",Other
W3173517086,[],Other
W3209161428,"['Siamese neural networks', 'encoder-decoder architecture']",Data-Centric AI
W3202852870,"['machine learning techniques', 'gas sales volume prediction', 'weather forecast data']",Predictive AI
W3214172277,N/A,N/A
W3177092435,"['DL architectures', 'CORINE 2018', 'High cadence observations', 'Training sets', 'Spatiotemporal monitoring']",Predictive AI
W3186541450,['procedural descriptions'],Decision-Support AI
W3199806197,['agent-based architecture'],Decision-Support AI
W3208699422,"['Earthquake Early Warning', 'IoT sensor analytics', 'Local computation']",Data-Centric AI
W4391677287,['LSTM-based sensor analytics'],Predictive AI
W3201333390,['reinforcement learning'],Decision-Support AI
W4391677235,"['mathematical models', 'neural networks', 'remote sensing']",Predictive AI
W4391677256,"['mathematical models', 'neural networks', 'remote sensing']",Data-Centric AI
W4391677247,['IoT sensor analytics'],Data-Centric AI
W4391677264,[],Other
W4391677218,"['water resource management', 'mathematical models', 'neural networks', 'remote sensing']",Decision-Support AI
W4391677286,"['mathematical models', 'neural networks', 'water resource management']",Predictive AI
W4391677295,"['water resource management', 'mathematical models', 'neural networks']",Predictive AI
W4391677208,"['neural networks', 'water quality monitoring', 'treatment plant performance prediction']",Data-Centric AI
W4391677243,['reinforcement learning'],Decision-Support AI
W4391677250,"['mathematical models', 'neural networks', 'remote sensing']",Data-Centric AI
W4391677204,"['neural networks', 'water quality monitoring', 'treatment plant performance prediction']",Predictive AI
W4391677210,"['water reuse', 'water treatment', 'integrated water management', 'neural networks', 'water resource management']",Decision-Support AI
W3155632222,"['Predictive modeling', 'AI techniques', 'model components', 'hierarchy of models', 'complex data', 'AI-derived model components']",Predictive AI
W3163339532,"['Hidden Markov Models', 'Deep Neural Networks', 'deep scattering networks']",Data-Centric AI
W3153552753,[],Other
W4210517527,"['CycleGAN', 'GANs', 'image generation', 'flood models', 'synthetic data creation']",Data-Centric AI
W3192314250,"['Long Short-Term Memory networks', 'Temporal Convolutional Networks', 'XGBoost']",Predictive AI
W4210414641,"['machine learning models', 'species identification', 'tree age prediction']",Predictive AI
W3136747202,"['reconfigurable data handling', 'image generation', 'AI for data compression and encryption']",Data-Centric AI
W3213942215,"['Echo State Networks', 'tipping points']",Predictive AI
W3153181299,"['Energy Exascale Earth System Model', 'physics-informed neural networks']",Predictive AI
W3212311259,[],Other
W3214634470,['decision making'],Decision-Support AI
W3206854436,"['remote sensed imagery', 'machine learning', 'satellite data classification', 'spatial resolution', 'accuracy assessment']",Data-Centric AI
W3157184426,"['LSTM', 'Random Forest']",Predictive AI
W3171200946,"['job advertisements', 'occupational transitions']",Decision-Support AI
W3174486416,['AI/ML (Deep Learning) and Data Analytics'],Data-Centric AI
W3160791908,"['Deep learning', 'Bayesian uncertainty analysis']",Predictive AI
W3216421365,"['Word2Vec', 'Sequence Matcher', 'TF-IDF']",Predictive AI
W4367469440,['AI'],Decision-Support AI
W3183315389,"['Industry 4.0 powered by the internet of things', 'agrofood supply chains']",Decision-Support AI
W3196790846,"['convolutional autoencoders', 'dimension reduction']",Data-Centric AI
W3138897941,"['neural networks', 'adversarial attacks']",Other
W3215233022,"['deep learning', 'point cloud classification']",Data-Centric AI
W3157830149,[],Other
W3209989760,N/A,N/A
W3176755515,"['machine learning', 'remote sensing data']",Predictive AI
W3163228774,"['Deep learning', 'Real-time magnitude estimation', 'Earthquake early warning']",Predictive AI
W3125670600,"['3D U-Net', 'geostationary satellite imagery', 'Doppler weather radar imagery']",Data-Centric AI
W4210925352,N/A,N/A
W3211821526,['ensemble machine learning-based model'],Predictive AI
W3158057630,[],Other
W3164228774,[],Other
W4252658382,"['Earth Observation data', 'AI techniques', 'Open Data Cube architectures', 'Satellite imagery preprocessing', 'Forest growth model', 'Meteorological data', 'Web-GIS platform']",Data-Centric AI
W3168068490,"['machine learning', 'counterfactual prediction']",Predictive AI
W4205657810,"['machine learning', 'climate modeling', 'computer model imitates system']",Data-Centric AI
W3200436444,['scoring systems'],Decision-Support AI
W3200637991,"['inverse reinforcement learning', 'multi-alternative decision field theory']",Decision-Support AI
W3155121938,"['BERT embeddings finetuned on crisis-related tweet classification', 'supervised classification']",Predictive AI
W3172600696,"['deep learning framework', 'fetal injury detection']",Predictive AI
W3169933640,"['extreme event detection', 'anomaly score', 'drought areas', 'EUVs']",Decision-Support AI
W3175229583,N/A,N/A
W3137754195,[],Other
W3166760558,N/A,N/A
W3176468778,['IoT sensor analytics'],Data-Centric AI
W3211167271,[],Other
W3214073062,[],Other
W3173774013,"['Sentinel-1A', 'InSAR', 'LSTM network', 'subsidence prediction', 'groundwater management']",Predictive AI
W3200151068,[],Other
W3165177561,"['critical infrastructure detection', 'deep learning']",Data-Centric AI
W3213398763,['evaluation systems'],Decision-Support AI
W4200144087,['quantitative risk assessment'],Decision-Support AI
W3172786421,"['PRODA', 'CLM5']",Decision-Support AI
W3198637248,N/A,N/A
W3128842277,"['Variational Auto-Encoder', 'Recurrent Neural Networks', 'Anomaly detection', 'Reconstruction probability', 'Reconstruction error']",Predictive AI
W3189890818,"['counterfactual building', 'government interventions', 'local economies', 'policy advising']",Decision-Support AI
W3204031859,"['Concept-Change Detection', 'Sensor data streams', 'AI-based analysis']",Data-Centric AI
W3177904200,"['Multi-linear Regression (MLR)', 'Generalized Regression Neural Network (GRNN)', 'Cascade Neural Network (CasNN)']",Predictive AI
W3186077744,[],Other
W3210583275,['machine learning classifiers'],Predictive AI
W4285325564,['computer vision'],Decision-Support AI
W3208271840,[],Other
W3174134774,[],Other
W3173247499,N/A,N/A
W3183161300,"['IoT sensor analytics', 'machine learning models', 'meteorological sensors']",Predictive AI
W3167671491,N/A,N/A
W3154984998,"['Named entity recognition', 'Keyword extraction', 'Document classification for social challenge detection', 'Sentiment analysis']",Data-Centric AI
W3176865114,"['k-NN', 'multilayer perceptron network']",Predictive AI
W3168622176,"['machine learning', 'classification', 'learning-to-rank']",Decision-Support AI
W4205403557,['machine learning techniques'],Data-Centric AI
W3203140203,"['machine learning analysis', 'species classification']",Predictive AI
W3212580476,[],Data-Centric AI
W3211088574,"['Generative Adversarial Networks (GANs)', 'extreme value theory', 'climate extremes', ' emergency management funds allocation']",Decision-Support AI
W3171239475,N/A,N/A
W3202085822,[],Data-Centric AI
W3214844097,"['Global peatland distribution', 'Land surface model evaluation', 'Peatland map inputs', 'Earth System Model integration']",Decision-Support AI
W3199856193,"['remote sensing', 'machine learning techniques', 'damage levels mapping', 'uncertainty estimates']",Data-Centric AI
W3212466995,"{'Label': 'AI for Data Enhancement & Monitoring', 'Definition': 'Tools that improve data quality, automate collection/processing, or enable real-time monitoring.', 'Subcategories': {'Satellite Imagery Preprocessing': ['Copernicus services (C3S, Atmosphere, Land)', 'GAN-based satellite data synthesis'], 'Data Handling Techniques': ['LSTM-based sensor analytics', 'Neural network processing for imagery']}}",Data-Centric AI
W3201737718,"['Synthetic data creation', 'Data fusion', 'Machine learning']",Data-Centric AI
W3200850775,"['DetDSCI', 'classification model', 'image using', 'appropriate detector']",Data-Centric AI
W3213600112,['cross-entropy loss'],Predictive AI
W3161108381,N/A,N/A
W3209698575,[],Other
W3215181874,[],Predictive AI
W3171141721,[],Decision-Support AI
W3205591572,N/A,N/A
W4238234530,N/A,N/A
W3177003135,['machine learning'],Decision-Support AI
W4236208250,"['Machine Learning', 'IoT', 'big data']",Predictive AI
W3174697556,"['computational models', 'flood risk prediction', 'uncertainty quantification', 'machine learning', 'Bayesian framework']",Predictive AI
W3184498929,[],Other
W3176119759,"['machine learning', 'river management decisions']",Decision-Support AI
W3209022825,[],Other
W3192642226,"['macroalgae collection', 'digitization project', 'data set']",Other
W3210111809,[],Other
W3153768210,"['machine learning', 'Earth System models', 'hydrobiogeochemical models']",Decision-Support AI
W3163635106,"['machine learning approach', 'global dataset', 'soil water retention measurements', 'constraints based on clay content', 'geospatial data']",Data-Centric AI
W3188550519,['U-Net'],Data-Centric AI
W4236379452,"['wildfire probability', 'machine learning model']",Predictive AI
W3211428887,[],Other
W3208675549,[],Data-Centric AI
W3195303939,N/A,N/A
W3183719498,[],Other
W3151158396,[],Other
W4245313510,N/A,N/A
W3170691349,"['machine learning', 'Earth System Models', 'observational data', 'model output']",Data-Centric AI
W3208476630,"['domain adaptation', 'active learning']",Decision-Support AI
W3208737719,[],Other
W3165655020,"['cyber-physical systems', 'cybernetic methods of management', 'artificial intelligence technologies', 'digital platforms']",Other
W3173546789,"['neural networks', 'water right estimation', 'ecologically acceptable flow']",Decision-Support AI
W3163941682,"['machine learning', 'statistical learning', 'water isotopologues', 'isotopic variability', 'machine learning models', 'water cycle', 'climate system', 'dimensionality reduction', 'machine learning approaches', 'linear regression', 'random forests', 'Gaussian Processes', 'neural networks']",Predictive AI
W3156566622,[],Data-Centric AI
W3171669741,N/A,N/A
W3192338630,"['Satellite imagery preprocessing with CNNs', 'Synthetic data creation']",Data-Centric AI
W3209153945,[],Other
W3196019120,"['Ecotwin', 'Reinforcement learning', 'Organisms', 'Ecosystem simulators', 'RL', 'Networks']",Decision-Support AI
W3162216399,['IoT sensor analytics (LSTM-based)'],Predictive AI
W3179019354,"['Human Givens approach', 'Cognitive behavioural therapy (CBT)', 'Art therapy techniques', 'Eye movement desensitization reprogramming (EMDR)']",Decision-Support AI
W3155801021,"['Machine Learning', 'Data Analysis', 'Bioinformatics', 'Biostatistics']",Predictive AI
W3186807168,"['IoT sensor analytics', 'Anomaly detection']",Data-Centric AI
W3186927834,[],Data-Centric AI
W3173031091,N/A,N/A
W3208746100,[],Other
W3173345268,['Machine Learning Techniques'],Predictive AI
W3184394942,[],Other
W3170888502,"['SWAMP', 'image acquisition and processing', 'machine learning approach', 'fish species classification']",Data-Centric AI
W3167578726,[],Other
W3169227937,N/A,N/A
W3171128470,"{'Label': 'AI for Forecasting & Pattern Recognition', 'Definition': 'Models that predict future states or classify patterns in structured/unstructured data.', 'Subcategories': {'Time-Series Forecasting': ['Weather prediction (Transformer-based)', 'Tipping points identification'], 'Classification': ['CNNs for animal identification', 'Acoustic classification of bird species'], 'Risk Modeling': ['Flood risk scoring (XGBoost)', 'Disease outbreak prediction (graph-based SEIR models)']}, 'Examples': ['CNN for species identification in forest images', 'Transformer-XL for electricity demand forecasting']}",Predictive AI
W4256606780,N/A,N/A
W3166132743,N/A,N/A
W3205140818,N/A,N/A
W3203033262,N/A,N/A
W4252957896,N/A,N/A
W3173218024,N/A,N/A
W4282828324,"['Support Vector Machine (SVM)', 'Magnitude estimation', 'Peak ground velocity prediction']",Predictive AI
W4220807546,"['Deep convolutional neural network', 'Surface records simulation', 'Diffraction stacking images', 'Source locations detection']",Decision-Support AI
W4296558750,"['convolutional neural network (CNN)', 'multi-layer perceptron models']",Predictive AI
W4293567683,"['CNNs', 'LSTMs']",Predictive AI
W4226188868,"['reinforcement learning', 'urban planning']",Predictive AI
W4224940993,"['Social Ski Driver Optimization', 'Fruit Fly Optimization', 'Sailfish Optimization', 'Particle Swarm Optimization', 'Support Vector Machine']",Decision-Support AI
W4290927760,"['computer vision techniques', 'climate simulation data']",Data-Centric AI
W4293791078,['machine learning (ML)'],Predictive AI
W4296443344,"['YOLOv5', 'CNN', 'MobileNet']",Predictive AI
W4306939316,"['long short-term memory (LSTM)', 'transfer learning (TL)']",Predictive AI
W4315562650,"['telegram bot', 'meteorological information', 'water use recommendations']",Decision-Support AI
W4307644226,"['ANN-CA model', 'cellular automata', 'neural network algorithms']",Predictive AI
W4312903819,"['machine learning-based classification model', 'classification', 'feature extraction techniques', 'word embeddings', '1D CNN']",Predictive AI
W4281725415,"['Convolutional Neural Networks', 'image detection', 'evaluation metrics']",Data-Centric AI
W4306882926,"['machine learning', 'LiDAR data']",Data-Centric AI
W4315815688,"['Artificial Neural Network (ANN)', 'Time-Series Forecasting']",Predictive AI
W4281610404,"['autoencoder architecture', 'crowd detection and estimation', 'deep learning architectures']",Data-Centric AI
W4364304230,"['FASTER R-CNN', 'MASK R-CNN', 'Classification', 'ensemble modeling', 'precision', 'recall']",Predictive AI
W4312341117,"['2D convolutional neural network', 'deep learning']",Data-Centric AI
W4321510699,N/A,N/A
W4311389641,"['artificial neural network (ANN)', 'cellular automata (CA)']",Predictive AI
W4221026270,"['ANN-MLP', 'SWAT', 'Machine learning', 'Hydrological extremes', 'Spatio-temporal analysis']",Predictive AI
W4220968188,"['deep learning', 'drug discovery', 'molecular informatics']",Predictive AI
W4321843772,"['machine learning', 'weather forecasting', 'deep learning', 'feature engineering']",Predictive AI
W4323021664,"['digital twin', 'precision biodiversity', 'biodiversity projections', 'continuous modeling']",Decision-Support AI
W4384160870,"['AI modeling', 'hydrodynamic wave propagation model', 'tsunami early warning system']",Data-Centric AI
W4292260462,"['deep learning', 'meter-level resolution', 'plant species prediction']",Predictive AI
W4221105610,['ML model'],Decision-Support AI
W4220807301,['Fast and Frugal Trees'],Predictive AI
W4310874881,"['one-dimensional convolutional neural network (CNN)', 'multiclass classification']",Predictive AI
W4312018736,"['MI-PI', 'weighted Euclidean distance']",Data-Centric AI
W4285731799,['convolutional neural network'],Data-Centric AI
W4297510525,[],Decision-Support AI
W4220760620,['Time-Series Forecasting'],Predictive AI
W4309375225,['Deep Learning (DL)'],Data-Centric AI
W4220797278,"['machine learning methods', 'random forest', 'convolutional neural network', 'mixing lengths', 'predictability', 'cross-stream']",Predictive AI
W4281389368,[],Other
W4386159700,['spatiotemporal IUU fishing forecasting algorithm'],Decision-Support AI
W4281670731,"['AI for soil management', 'weeding automation', 'crop monitoring', 'disease management']",Decision-Support AI
W4310984280,"['CA-ANN', 'Land Surface Temperature']",Predictive AI
W4301372060,"['SHAP values', 'SVM', 'RF', 'CNN', 'LSTM']",Predictive AI
W4221086150,"['CNNs', 'dilated convolution', 'attention mechanisms', 'label smoothing']",Predictive AI
W4214830757,['Convolutional neural networks'],Data-Centric AI
W4304182864,"['XGBoost', 'Random Forest (RF)', 'convolutional neural network (CNN)']",Predictive AI
W4220684250,N/A,N/A
W4313262310,N/A,N/A
W4302293862,"['AngleCam', 'Convolutional Neural Networks', 'Leaf angle distributions']",Data-Centric AI
W4288070488,"['AI for infertility diagnosis', 'patient management', 'embryo selection', 'predicting embryo development']",Decision-Support AI
W4225588039,['artificial neural network (ANN)'],Data-Centric AI
W4220787483,"['Deep neural networks', 'Intermediate-range forecasting', 'Heat waves prediction', 'Climate model simulation', 'Convolutional neural network (CNN)', 'Brier skill score', 'Cross-entropy skill']",Predictive AI
W4220849873,"['1D-Convolutional Neural Networks', 'seismic intensity scale']",Data-Centric AI
W4206942862,"['blockchain', 'artificial intelligence (AI)', 'species identification', 'climate change', 'biodiversity conservation', 'water bodies', 'autonomous systems', 'drone-based traffic optimization', 'autonomous camera traps']",Decision-Support AI
W4220869389,"['AI-approaches for high-resolution simulations', 'Flood risk assessment', 'Weather and climate extremes identification']",Predictive AI
W4285152439,['Long Short-Term Memory Encoder Decoder'],Predictive AI
W4221131588,"['Enhanced Convolutional Neural Network', 'GaoFen Image Dataset']",Predictive AI
W4390190406,[],Other
W4283652194,N/A,N/A
W4283517808,"['MIKE FLOOD', 'artificial neural networks (ANNs)']",Data-Centric AI
W4283651702,"['deep learning', 'reinforcement learning']",Data-Centric AI
W4319586485,"['CNNs', 'satellite imagery']",Data-Centric AI
W4288058216,[],Other
W4285263900,[],Other
W4295919129,[],Data-Centric AI
W4306399716,"['Deep learning', 'Computer vision', 'Hardware system', 'Faster R-CNN', 'Slicing Aided Hyper Inference']",Data-Centric AI
W4308659722,"['sensor-based methods', 'image processing-based methods', 'machine learning techniques', 'convolutional neural networks (CNNs)', 'pre-trained deep neural network architectures', 'transfer learning', 'Raspberry PI embedded hardware']",Data-Centric AI
W4221020103,"['image processing machine learning', 'wavelet-transforms']",Predictive AI
W4296268564,"['artificial intelligence-based future land cover changes', 'reinforcement learning']",Decision-Support AI
W4313418113,[],Other
W4313130695,"['convolutional neural-networks', 'image classification']",Decision-Support AI
W4220920899,[],Other
W4291653582,['convolutional neural networks'],Data-Centric AI
W4226377144,"['graph-based methods', 'graph signal smoothness representation', 'Gaussian mixture model']",Data-Centric AI
W4290804372,[],Other
W4213374893,['AI for Actionable Insights & Automation in sustainability science'],Decision-Support AI
W4316087233,"['SARIMA', 'LSTM', 'MLP']",Predictive AI
W4321843725,"['deep learning', 'machine learning', 'artificial intelligence']",Decision-Support AI
W4220728253,"['machine learning', 'real-time monitoring']",Decision-Support AI
W4213077516,N/A,N/A
W4367147517,['Convolutional Neural Networks (CNNs)'],Predictive AI
W4293056088,"['RNN', 'LSTM']",Predictive AI
W4205637497,"['convolutional neural network (CNN)', 'social calls classification', 'machine learning techniques']",Predictive AI
W4311561865,"['IoT sensor analytics', 'Diffusion-based satellite data synthesis']",Data-Centric AI
W4312367286,"['convolutional neural networks', 'multi-modal data processing']",Decision-Support AI
W4293057796,"['Multilayer perceptron (MLP)', 'support vector regression (SVR)']",Predictive AI
W4207085514,"['back‐propagation neural network (BP ANN)', 'multiple regression (MLR)']",Predictive AI
W4212836859,"['Convolutional Neural Networks (CNNs)', 'seismic data']",Data-Centric AI
W4295542967,"['IoT', 'robot', 'AR', 'VR']",Decision-Support AI
W4313018331,"['AI-supported false alarm suppression method', 'JICA-JAXA forest early warning system']",Data-Centric AI
W4318148381,"['MEMS-based earthquake detection', 'IoT seismic data']",Data-Centric AI
W4362680991,"['Convolutional Neural Networks (CNN)', 'Siamese damage assessment model', 'building localization', 'multi-scale approach', 'image pairs']",Decision-Support AI
W4319430245,"['CART', 'Classification']",Predictive AI
W4313356036,"['residual block', 'CSPDarknet53 backbone', 'DenseNet', 'Spatial Pyramid Pooling (SPP)', 'modified Path Aggregation Network (PANet)']",Data-Centric AI
W4285107171,['object detection'],Decision-Support AI
W4283643723,['Latent Dirichlet Allocation'],Data-Centric AI
W4295127842,"['Support Vector Machine', 'Multilayer Perceptron']",Predictive AI
W4285005968,"['species distribution models', 'generalized linear model', 'machine learning SDMs', 'random forest model', 'generalized boosted regression model']",Predictive AI
W4313289387,"['AI', 'machine learning']",Predictive AI
W4282581005,"['time series forecasting', 'water quality parameters', 'classical statistical methods', 'artificial intelligence-based techniques']",Predictive AI
W4214601011,"['satellite imagery', 'image processing', 'CNNs']",Data-Centric AI
W4220793710,['machine learning method'],Predictive AI
W4221118130,"['Deep Learning for climate projections', 'Convolutional Neural Networks for data enhancement']",Data-Centric AI
W4313055377,"['Transformer architecture', 'one-dimensional convolutional neural network']",Predictive AI
W4226266771,N/A,N/A
W4225304437,"['AutoEncoder', 'Synthetic Minority Oversampling Technique (SMOTE)', 'Extreme Learning Machine (ELM)']",Data-Centric AI
W4313811954,"['GeoAI', 'IoT sensor analytics', 'Land Surface Temperature (LST)', 'Land Use/Cover']",Decision-Support AI
W4282042208,"['YOLOv5', 'real-time environment', 'fire detection']",Predictive AI
W4297859011,"['digital twins', 'machine learning models', '预测路径', '社会媒体分析']",Data-Centric AI
W4295004507,"['Boosted regression tree (BRT)', 'Artificial neural network (ANN)']",Predictive AI
W4283764812,[],Other
W4293107885,N/A,N/A
W4223926899,"['Support Vector Regression (SVR)', 'Random Forest (RF)']",Predictive AI
W4221028831,"['reinforcement learning', 'urban planning']",Data-Centric AI
W4283218421,['IoT sensor analytics'],Data-Centric AI
W4307563140,['Synthetic data creation'],Data-Centric AI
W4292466530,['neural network analysis'],Predictive AI
W4308338323,N/A,N/A
W4220917682,"['IoT sensor analytics', 'LSTM-based']",Data-Centric AI
W4317382677,"['Timestamp Graph Message Passing', 'Timestamp Graph Convolution', 'Temporal Graph Message Passing', 'Temporal Graph Convolution', 'Deep Learning Model']",Decision-Support AI
W4280571802,[],Other
W4307348229,"['deep learning-based methods', 'synthetic seismic images', 'PSF-based convolution']",Data-Centric AI
